State,X,Y
Andhra Pradesh,-61.0 ,-132.0
Arunachal Pradesh,222.0, 130.0
Assam,165.0, 85.0
Bihar,59.0 ,77.0
Chhattisgarh,-10.0, -14.0
Goa,-148.0, -120.0
Gujarat,-184.0 ,20.0
Haryana,-97.0, 137.0
Himachal Pradesh,-85.0 ,192.0
Jharkhand,47.0, 29.0
Karnataka,-121.0 ,-132.0
Kerala,-107.0 ,-220.0
Madhya Pradesh,-70.0, 24.0
Maharashtra,-127.0 ,-46.0
Manipur,197.0, 60.0
Meghalaya,150.0, 65.0
Mizoram,183.0 ,33.0
Nagaland,212.0 ,90.0
Odisha,37.0, -22.0
Punjab,-117.0 ,169.0
Rajasthan,-143.0, 88.0
Sikkim,105.0, 108.0
Tamil Nadu,-71.0, -209.0
Telangana,-58.0 ,-74.0
Tripura,163.0, 37.0
Uttar Pradesh,-41.0 ,101.0
Uttarakhand,-55.0 ,158.0
West Bengal,95.0 ,25.0
